Date,Merchant,Amount
2026-05-16,Starbucks Siam Paragon,-185
2026-05-16,Grab to Asoke,-142
2026-05-16,Tops Daily,-428
2026-05-15,7-Eleven Sukhumvit,-89
2026-05-15,Netflix Subscription,-419
2026-05-14,Shopee Mall,-1290
2026-05-14,Salary - Sangthai Co.,52000
2026-05-13,BTS Skytrain,-52
2026-05-13,CentralWorld Food Court,-245
2026-05-12,PEA Electric Bill,-1850
2026-05-12,Lotus Go Fresh,-612
2026-05-11,AIS Postpaid,-799
2026-05-11,Bolt Food,-178
2026-05-10,Watsons,-340
2026-05-10,After You Dessert,-295
2026-05-09,Major Cineplex,-380
2026-05-09,Grab to Airport,-485
2026-05-08,Boots Pharmacy,-220
2026-05-08,Cafe Amazon,-75
2026-05-07,Sushi Hiro,-890
2026-05-07,Shell V-Power,-1200
2026-05-06,IKEA Bangkok,-2480
2026-05-05,Freelance Project,8500
2026-05-05,CP Fresh Mart,-385
2026-05-04,Spotify Premium,-149
2026-05-04,MRT Top-up,-300
